metric,value
total_citation_edges,204.0
target_aligned_LLM_scored_edges,91.0
default_fallback_edges,113.0
target_aligned_LLM_coverage_ratio,0.44607843137254904
high_confidence_count,73.0
grouped_count,17.0
range_count,1.0
ambiguous_count,16.0
failed_count,97.0
old_LLM_scored_edges_count,123.0
old_LLM_retained_high_confidence_count,67.0
