metric,value
total citation edges,204
final accepted target-aligned edges,113
final coverage ratio,55.3922%
fallback edges,91
old v2.1 coverage,91
old v2.2 candidate coverage,112
final accepted coverage,113
DeepSeek-scored final edges,113
final accepted but unscored edges,0
decision,stop further rescue and freeze final semantic layer
