Method,Score column,Spearman with Full model final,Kendall with Full model final,Top-5 overlap,Top-10 overlap,Mean rank change,Max rank change
Citation Count,citation_count_score,0.8328446521974544,0.7052910382920327,1,4,12.704761904761904,69.5
Unweighted PageRank,unweighted_pagerank_score,0.9355410631525468,0.818816611539875,4,5,7.542857142857143,44.0
Time-aware PageRank,time_aware_pagerank_score,0.992711173780962,0.9511209114296215,5,10,1.8476190476190477,21.0
Semantic-weighted PageRank final,semantic_pagerank_score_final,0.9967754979315492,0.9705990444689452,5,10,1.2952380952380953,13.0
Semantic-temporal PageRank final,semantic_temporal_score_final,0.9974597974058829,0.9794193311282616,5,10,0.8952380952380953,10.0
Full model final,full_model_score_final,1.0,1.0,5,10,0.0,0.0
