scenario,top5_overlap_with_base,mean_price_change,max_price_change,mean_rank_change,max_rank_change
Conservative,4,0.018184625778551407,0.14896024844843891,2.9904761904761905,17.0
Base Case,5,0.0,0.0,0.0,0.0
Aggressive,5,0.01818462577855141,0.14896024844843908,1.0285714285714285,10.0
Quality Priority,4,0.00940881389859225,0.25,2.6476190476190475,16.0
Similarity Priority,5,0.00940881389859225,0.25,1.6571428571428573,23.0
