metric,value
paper_nodes,105
citation_edges,204
heterogeneous_total_edges,1030
heterogeneous_citation_edges,204
largest_weak_component_nodes,105
average_in_degree,1.942857
average_out_degree,1.942857
max_in_degree,15
max_out_degree,12
network_density,0.01868132
has_isolates,No
isolate_count,0
core_paper_count,30
llm_scored_edges,123
unscored_edges,81
self_citation_edges,27
self_citation_ratio,0.132353
average_shared_authors,0.382353
