Paper_ID,Author_ID,Author_Name,Author_Position,Is_Corresponding,Institution_IDs,Institution_Names
W4323644227,A5002835087,Fernando Beltrán,middle,False,I154130895,University of Auckland
W4323644227,A5083914998,Jiamou Liu,last,False,I154130895,University of Auckland
W3040491562,A5088227362,Fahad Ahmed Al-Zahrani,first,True,I199693650,Umm al-Qura University
W3014121762,A5000593119,Petri Parvinen,first,True,None,None
W3014121762,A5078094839,Essi Pöyry,middle,False,I4210140823,GfK (Czechia)
W3014121762,A5035717439,Robin Gustafsson,middle,False,I9927081,Aalto University
W3014121762,A5031521126,Miikka Laitila,middle,False,I9927081,Aalto University
W3014121762,,Futurice,middle,False,I9927081,Aalto University
W3014121762,,Matti Rossi,last,False,None,None
W3215634159,A5007421383,Riya Kakkar,first,True,I165831266,Nirma University
W3215634159,A5058080028,Rajesh Gupta,middle,False,I165831266,Nirma University
W3215634159,A5089077811,Sudeep Tanwar,middle,False,I165831266,Nirma University
W3215634159,A5076776322,Joel J. P. C. Rodrigues,last,False,None,None
W4243417153,A5003919163,Dirk Bergemann,first,True,I32971472,Yale University
W4243417153,A5040536317,Alessandro Bonatti,last,False,I4210109586|I63966007,Moscow Institute of Thermal Technology|Massachusetts Institute of Technology
W2533772775,A5103029928,Yuncheng Shen,first,True,I24185976|I24201400,Sichuan University|Chengdu University of Information Technology
W2533772775,A5022121427,Bing Guo,middle,False,I24185976,Sichuan University
W2533772775,A5102006216,Yan Shen,middle,False,I24185976|I24201400,Sichuan University|Chengdu University of Information Technology
W2533772775,A5050104774,Xuliang Duan,middle,False,I24185976,Sichuan University
W2533772775,A5051591710,Xiangqian Dong,middle,False,I24185976,Sichuan University
W2533772775,A5100430272,Hong Zhang,last,False,I24185976,Sichuan University
W2734426755,A5050396482,Zhenzhe Zheng,first,True,I183067930,Shanghai Jiao Tong University
W2734426755,A5002637006,Yanqing Peng,middle,False,I183067930,Shanghai Jiao Tong University
W2734426755,A5059190563,Fan Wu,middle,False,I183067930,Shanghai Jiao Tong University
W2734426755,A5050393292,Shaojie Tang,middle,False,I162577319,The University of Texas at Dallas
W2734426755,A5100428808,Guihai Chen,last,False,I183067930,Shanghai Jiao Tong University
W2921968831,A5026349968,Hyeontaek Oh,first,True,I157485424,Korea Advanced Institute of Science and Technology
W2921968831,A5014443062,Sangdon Park,middle,False,I157485424|I878022262,Korea Advanced Institute of Science and Technology|Korea Institute of Science & Technology Information
W2921968831,A5060724570,Gyu Myoung Lee,middle,False,I63098007,Liverpool John Moores University
W2921968831,A5086882645,Hwanjo Heo,middle,False,I142401562,Electronics and Telecommunications Research Institute
W2921968831,A5102847957,Jun Kyun Choi,last,False,I157485424,Korea Advanced Institute of Science and Technology
W2612128091,A5036934715,Shaleen Deep,first,True,I135310074,University of Wisconsin–Madison
W2612128091,A5040506752,Paraschos Koutris,last,False,I135310074,University of Wisconsin–Madison
W2996741051,A5005327587,Zehui Xiong,first,True,I172675005,Nanyang Technological University
W2996741051,A5091266202,Dusit Niyato,middle,False,I172675005,Nanyang Technological University
W2996741051,A5100338634,Ping Wang,middle,False,I192455969,York University
W2996741051,A5063667378,Zhu Han,middle,False,I35928602|I44461941,Kyung Hee University|University of Houston
W2996741051,A5100354608,Yang Zhang,last,False,I172675005|I196699116,Nanyang Technological University|Wuhan University of Technology
W2180742472,A5101951074,Soumya Sen,first,True,I2800403580,University of Minnesota System
W2180742472,A5085243096,Carlee Joe‐Wong,middle,False,I20089843,Princeton University
W2180742472,A5023497481,Sangtae Ha,middle,False,I2802236040,University of Colorado System
W2180742472,A5110782105,Mung Chiang,last,False,I20089843,Princeton University
W2919782326,A5103086027,Chaoyue Niu,first,True,I183067930,Shanghai Jiao Tong University
W2919782326,A5050396482,Zhenzhe Zheng,middle,False,I183067930,Shanghai Jiao Tong University
W2919782326,A5050393292,Shaojie Tang,middle,False,I162577319,The University of Texas at Dallas
W2919782326,A5019439900,Xiaofeng Gao,middle,False,I183067930,Shanghai Jiao Tong University
W2919782326,A5059190563,Fan Wu,last,False,I183067930,Shanghai Jiao Tong University
W2126626399,A5054330014,Ruiming Tang,first,True,I165932596,National University of Singapore
W2126626399,A5103622653,Huayu Wu,middle,False,I3005327000,Institute for Infocomm Research
W2126626399,A5080660416,Zhifeng Bao,middle,False,I165932596,National University of Singapore
