Source,Target,Raw_Weight_Original,w_ji_original,Raw_Weight_Penalized,w_ji_penalized
W4323644227,W2168402580,0.049999999999999996,0.11111111111111112,0.049999999999999996,0.11111111111111112
W4210813858,W2533772775,0.12487500000000001,0.17247134109847612,0.12487500000000001,0.17247134109847612
W4210813858,W2743929098,0.12487500000000001,0.17247134109847612,0.12487500000000001,0.17247134109847612
W4210813858,W2910976764,0.12487500000000001,0.17247134109847612,0.12487500000000001,0.17247134109847612
W4210813858,W3084177365,0.039199999999999985,0.054141153722204294,0.039199999999999985,0.054141153722204294
W3121561769,W2974598553,0.0528,1.0,0.0528,1.0
W2956647116,W2790400697,0.024975,1.0,0.024975,1.0
W2982407593,W2612128091,0.10800000000000001,1.0,0.10800000000000001,1.0
W1516789636,W1777686370,0.049999999999999996,1.0,0.049999999999999996,1.0
W3117086259,W2910976764,0.0,0.0,0.0,0.0
W3117086259,W2974598553,0.0528,1.0,0.0528,1.0
W4377287661,W2018362551,0.0006666666666666666,1.0,0.0006666666666666666,1.0
W3202764263,W2790400697,0.049999999999999996,0.460431654676259,0.049999999999999996,0.460431654676259
W3202764263,W2974598553,0.05859375,0.5395683453237411,0.05859375,0.5395683453237411
W4312395603,W2743929098,0.049999999999999996,0.25,0.049999999999999996,0.25
W4312395603,W2790400697,0.049999999999999996,0.25,0.049999999999999996,0.25
W4312395603,W3084177365,0.049999999999999996,0.25,0.049999999999999996,0.25
W2509511072,W1994174199,0.05389999999999998,0.7711015736766809,0.05389999999999998,0.8707592891760905
W2509511072,W2010653253,0.016,0.22889842632331905,0.008,0.12924071082390956
W4288391541,W3215634159,0.12487500000000001,1.0,0.041625,1.0
W2919782326,W2168402580,0.08533333333333334,0.40594648166501485,0.08533333333333334,0.40594648166501485
W4210813858,W2612128091,0.08533333333333334,0.11785829381704342,0.08533333333333334,0.11785829381704342
W4210813858,W2293940046,0.12487500000000001,0.17247134109847612,0.12487500000000001,0.17247134109847612
W2508874533,W2010653253,0.024975,1.0,0.024975,1.0
W3123243120,W2974598553,0.049999999999999996,1.0,0.049999999999999996,1.0
W4226305897,W2734426755,0.049999999999999996,0.08056611120808885,0.049999999999999996,0.08056611120808885
W4226305897,W2743929098,0.05333333333333333,0.0859371852886281,0.05333333333333333,0.0859371852886281
W4226305897,W2765365501,0.0528,0.08507781343574183,0.0528,0.08507781343574183
W4226305897,W2790400697,0.07492499999999999,0.12072831764532113,0.07492499999999999,0.12072831764532113
W4226305897,W2920282816,0.049999999999999996,0.08056611120808885,0.049999999999999996,0.08056611120808885
W2758203152,W2010653253,0.003333333333333333,1.0,0.0016666666666666666,1.0
W4323644227,W2612128091,0.049999999999999996,0.11111111111111112,0.049999999999999996,0.11111111111111112
W3202603574,W2974598553,0.02640625,1.0,0.02640625,1.0
W3206864493,W2974598553,0.02640625,1.0,0.02640625,1.0
W3210061505,W2293940046,0.049999999999999996,0.07326454606508334,0.049999999999999996,0.07918701332981391
W3210061505,W2533772775,0.06124999999999998,0.08974906892972706,0.01020833333333333,0.016167348554837
W3210061505,W2743929098,0.12150000000000001,0.17803284693815255,0.12150000000000001,0.19242444239144782
W3210061505,W2759182208,0.05333333333333333,0.0781488491360889,0.05333333333333333,0.0844661475518015
W3210061505,W2765365501,0.12150000000000001,0.17803284693815255,0.12150000000000001,0.19242444239144782
W3210061505,W2790400697,0.12487500000000001,0.18297820379754567,0.12487500000000001,0.19776956579121027
W3210061505,W2920282816,0.049999999999999996,0.07326454606508334,0.049999999999999996,0.07918701332981391
W4220901737,W2765365501,0.07492499999999999,0.5841725683841207,0.07492499999999999,0.5841725683841207
W4220901737,W2790400697,0.003333333333333333,0.025989214475992468,0.003333333333333333,0.025989214475992468
W2289113545,W1994174199,0.005999999999999999,1.0,0.005999999999999999,1.0
W2919782326,W2612128091,0.12487500000000001,0.5940535183349851,0.12487500000000001,0.5940535183349851
