Source,Target,Source_Clean,Target_Clean,is_author_self_cite,is_inst_self_cite,shared_authors_count
https://openalex.org/W4360991875,https://openalex.org/W4243417153,W4360991875,W4243417153,False,False,0
https://openalex.org/W4360991875,https://openalex.org/W3008256197,W4360991875,W3008256197,False,False,0
https://openalex.org/W2180742472,https://openalex.org/W2327152018,W2180742472,W2327152018,True,True,4
https://openalex.org/W3210061505,https://openalex.org/W2916829860,W3210061505,W2916829860,False,False,0
https://openalex.org/W3210061505,https://openalex.org/W2919782326,W3210061505,W2919782326,False,False,0
https://openalex.org/W4220901737,https://openalex.org/W2310916783,W4220901737,W2310916783,False,False,0
https://openalex.org/W2011238498,https://openalex.org/W3111554765,W2011238498,W3111554765,False,False,0
https://openalex.org/W2123954539,https://openalex.org/W2166180954,W2123954539,W2166180954,False,True,0
https://openalex.org/W2123954539,https://openalex.org/W2011238498,W2123954539,W2011238498,False,True,0
https://openalex.org/W4281293246,https://openalex.org/W4226305897,W4281293246,W4226305897,True,True,2
https://openalex.org/W4210813858,https://openalex.org/W2734445852,W4210813858,W2734445852,False,False,0
https://openalex.org/W4210813858,https://openalex.org/W2942073230,W4210813858,W2942073230,False,False,0
https://openalex.org/W3021125948,https://openalex.org/W2996741051,W3021125948,W2996741051,True,True,3
https://openalex.org/W4312395603,https://openalex.org/W3113404185,W4312395603,W3113404185,False,False,0
https://openalex.org/W2942073230,https://openalex.org/W2934375453,W2942073230,W2934375453,True,True,2
https://openalex.org/W4322604225,https://openalex.org/W3096125752,W4322604225,W3096125752,False,True,0
https://openalex.org/W3089176333,https://openalex.org/W2126626399,W3089176333,W2126626399,False,False,0
https://openalex.org/W4390728454,https://openalex.org/W4323644227,W4390728454,W4323644227,False,False,0
https://openalex.org/W3089176333,https://openalex.org/W2919782326,W3089176333,W2919782326,False,False,0
https://openalex.org/W3021370403,https://openalex.org/W2921968831,W3021370403,W2921968831,False,False,0
https://openalex.org/W2996741051,https://openalex.org/W2342966760,W2996741051,W2342966760,False,False,0
https://openalex.org/W2996741051,https://openalex.org/W2581979418,W2996741051,W2581979418,False,False,0
https://openalex.org/W4385311348,https://openalex.org/W4226382147,W4385311348,W4226382147,False,False,0
